	WT_1	WT_2	XistKO_1	XistKO_2
Mm2pr	14	11	6	8
Atcayos	0	0	0	0
Tbcb	56	33	60	12
Olfr624	0	0	0	0
Rho	1	2	0	0
Bpifa6	0	0	0	0
Gch1	22	17	322	286
Capn9	0	0	0	0
Odc1	9106	7418	13026	7153
Mrpl12	86	68	155	41
Ilkap	499	476	702	387
Ttc39c	134	110	437	211
Rwdd3	193	209	145	151
Auts2	30	24	5	5
Hprt	9969	9938	11471	9422
Ipo9	5715	4735	6848	5386
M5C1000I18Rik	0	0	0	0
1700065I16Rik	0	0	0	0
Csf1r	0	1	2	1
Lrcol1	0	0	0	0
Ssr4	267	169	360	138
Tmco4	18	9	17	10
Bend6	627	624	1152	982
Higd1b	0	0	0	0
E130215H24Rik	0	0	0	0
AI646519	0	0	0	0
Enam	0	0	0	0
Clcnkb	0	0	0	0
Ska1	886	809	1208	983
Helb	547	516	753	647
Spon2	0	0	0	2
Mtmr9	509	553	784	632
Fam186b	0	0	0	0
Uggt2	7883	7648	10786	10574
Fbxw13	0	0	0	0
Tceal3	0	1	0	0
Ubtd2	4634	4968	4730	4081
Prr22	0	0	0	0
Smlr1	0	0	0	0
Vasn	943	1070	2740	1856
Gfap	1	4	1	0
Anxa3	18113	18366	22276	15286
Ivd	136	120	171	92
4930506C21Rik	1	4	0	3
Srp54b	2	4	4	0
Slc22a12	0	0	0	0
Napsa	1	3	2	1
4930555B12Rik	0	0	0	0
Gm16897	8	8	5	5
BB019430	0	0	0	0
Vmn1r148	0	0	0	0
S100b	0	0	0	0
1700125G22Rik	5	6	6	0
Krt36	0	0	0	0
Stat6	807	557	1023	901
Col3a1	11777	13232	21464	18156
Arg1	1	3	22	11
Arf6	51580	52240	84018	83339
Arf5	483	372	535	390
G6pc	0	0	0	0
St3gal4	923	741	986	604
2200002J24Rik	0	0	0	0
Cdca3	379	344	575	219
Ywhab	8519	8957	9360	7679
Mir467e	2	6	0	5
Ezh1	116	94	131	75
Dusp8	34	33	16	8
Cpd	15454	15275	18809	17193
Emp2	1437	1368	2333	1664
Sec61a1	3598	3071	4529	3309
Fmod	0	0	0	0
Drg2	117	56	147	53
Dnaaf1	0	0	0	0
Ms4a4a	0	0	0	0
Cyp2c40	0	0	0	0
Efnb1	27	20	11	5
Cited2	6152	5633	8021	7742
Mta2	3420	2956	4196	2169
Prokr1	106	129	175	178
Ntpcr	183	200	181	178
Rep15	22	33	43	41
Polr3c	173	124	190	95
Map3k19	3	1	0	2
Igip	884	1216	1581	1497
Gtf3c4	2775	2397	2647	1897
Vgll2	2	2	0	0
Mrpl21	1198	985	1450	773
Agpat2	10	7	5	3
Tnfrsf10b	507	405	857	486
Rasl11b	27	23	5	5
Acad8	1115	1145	1260	1036
Hoxd10	1	1	0	0
Hoxc4	368	373	0	0
Hmmr	12175	11424	15869	14037
Csnk1d	810	631	1070	579
Spaca1	0	0	0	0
Armc12	0	0	0	0
Srf	395	438	674	309
Asrgl1	44	35	36	24
Lamtor1	253	326	426	168
Prxl2b	0	0	0	0
Ltb4r2	0	0	0	0
Ube2r2	3994	4488	6769	4611
Prss21	0	0	0	0
Narf	287	287	719	439
Fibin	115	120	42	45
Eif1ax	36838	34069	37632	34498
Gm2087	1	0	0	0
Nrxn3	13	21	0	0
Dnah7a	1	3	0	1
Klhl21	271	276	556	290
Taar2	0	0	0	0
Clec3a	0	0	0	0
Krtap19-5	0	0	0	0
Krtap6-2	0	0	0	0
Tbr1	14	17	16	18
Krt27	0	0	0	0
Acat2	1245	907	1236	974
Tfap2c	1	0	1	0
Ccl25	285	273	265	239
Scrg1	0	0	0	0
St8sia4	0	0	0	0
Irx3	8	12	41	20
Acod1	0	0	0	0
Cep135	2195	2156	3259	2943
Vat1l	69	60	100	47
Gpr119	0	0	0	0
2700070H01Rik	7	9	5	8
9530052E02Rik	3	1	4	1
C330024C12Rik	0	0	0	0
Man1a	4741	5122	5250	5164
Mrpl46	125	65	117	64
Nphp3	257	271	414	285
Msantd2	2260	2682	2779	2561
Ifna13	0	0	0	0
Gpr149	6700	6589	27047	25636
Fibcd1	0	0	0	0
Gm5144	0	0	0	0
Gm27162	2	10	2	8
Ppil1	738	713	1374	754
Mir7225	0	0	0	0
Gm15350	0	0	0	0
4930470H14Rik	969	1047	930	868
4930505G20Rik	0	0	0	0
Actl10	0	0	0	0
Rdh19	10	14	13	13
Ilrun	734	580	911	440
Gm10619	0	0	0	0
A930006K02Rik	9	14	11	2
Tmem63b	50	27	75	26
1700113A16Rik	4	12	12	8
Gm4632	0	0	2	1
A830035O19Rik	2	0	2	4
Hist1h2bq	0	0	0	0
Agtrap	60	58	81	55
Angpt4	0	1	0	1
Anp32a	3403	2899	3445	2046
Ank3	649	798	540	410
Ly6g6c	7	2	8	3
Npy	0	0	0	0
Mir7226	0	0	0	0
Olfr59	0	0	0	0
Hmcn2	0	0	1	0
Ap3d1	322	218	312	152
Bmi1	22190	23541	17656	18434
Ascl2	0	0	0	0
Gpr182	0	0	0	0
Gpr27	0	0	0	0
Exo1	1137	972	1531	987
Kpna2	24538	22869	29717	24067
Nectin3	13763	14403	11287	10085
Wnt2	9	5	10	7
Nupr1	27	10	15	2
B4galt6	2769	3110	1879	1714
Sike1	1521	1558	2055	1675
Tsen15	600	612	1037	528
Dnajc16	34	59	95	46
Hspbap1	272	295	362	315
Vwa3a	3	1	1	1
Kcnj5	1	0	0	0
Mir1895	0	0	0	0
Uggt1	5163	4224	5229	3209
Nrip2	0	0	0	0
Rnase10	14	11	1	2
Zfp972	206	189	275	162
Top1	25315	27658	43136	40422
Mir7230	0	0	0	0
Mir7227	15	9	9	9
Parva	6763	6084	6663	5128
Tmem86b	6	4	16	7
E330033B04Rik	823	939	911	856
Gng8	7	4	9	3
Upf1	283	250	347	252
Akap2	0	0	0	1
Draxin	0	0	0	1
Psd2	0	1	1	0
4930503E24Rik	0	0	0	0
Noc4l	355	219	342	153
Crnkl1	3971	3544	4682	3803
Tssk3	0	0	0	0
Slc8a3	16	22	18	10
BC029722	116	107	186	100
Clic6	0	0	0	0
Npsr1	0	0	0	0
Fcgbp	0	0	0	0
Prdx3	3354	3182	4119	2959
Chmp2b	6552	7110	7767	7152
Coq2	380	411	661	437
Top1mt	54	57	82	32
Fam83d	2263	2393	3252	3314
Efhc1	37	34	33	22
Thegl	0	0	0	0
Tmbim1	627	602	1204	572
Cacna2d3	1	1	10	5
Gapvd1	4443	4179	4314	3405
4930479D17Rik	0	0	0	0
Ift172	76	72	55	40
Ifitm5	0	0	0	0
Retnlb	0	0	0	0
Rpgrip1	2	1	4	1
Terb2	2	0	0	2
Tube1	437	451	528	453
Zxda	3254	3694	3292	3462
Mir7232	0	0	0	0
Rab21	4449	4547	7444	7414
Luzp1	5835	5349	6784	4975
Adam21	18	22	21	29
Tpmt	655	720	1150	727
Lipn	1	1	2	0
4930525D18Rik	2	3	0	2
Rac2	35	42	45	46
Prss39	0	0	0	0
Rab3b	3	2	0	1
H2bl1	0	0	0	0
Cst12	0	0	0	0
Ofd1	4407	4023	4165	3827
Mir3071	0	0	0	0
Mpg	61	59	84	39
Sema3c	13636	14160	13486	12785
Atr	11022	10135	10526	9517
Atg12	2597	2474	3037	2316
Cdc42ep5	0	0	0	0
Zfp472	1443	1330	1555	1348
Acot10	31	22	25	13
Scamp2	243	223	221	134
Foxb1	49	52	58	33
Ccdc178	2	2	0	1
Mir6381	0	0	0	0
Kcnb1	3	6	5	7
Kcna3	4	2	61	40
Kcna2	60	81	79	89
Atp7a	3243	3417	9563	9345
Nxph2	0	0	0	1
Ndc80	4645	4456	5421	4203
Sit1	0	0	0	0
Rpp30	4878	4869	4655	3663
Klhl9	26419	28498	34614	35663
Bnc2	2163	2168	3918	3515
Trim21	117	140	142	136
Sla	13	12	9	6
Src	50	32	108	37
Sptlc1	1158	1021	1750	1455
Slc12a1	3	0	1	4
Gm16063	0	0	0	0
Fam186a	0	0	0	0
Gpr165	20	22	13	17
Acp6	154	196	98	57
Mllt1	102	145	266	51
Gm6994	0	0	0	0
Tia1	8707	9183	11013	11021
Depp1	0	0	0	0
Gm16861	0	1	0	1
Mir375	0	0	0	0
Oxct1	15956	14946	18815	15597
Nipal2	0	0	0	0
Simc1	924	755	991	792
Chil4	0	0	0	0
Mir6929	0	0	0	0
Nsf	1129	1094	2228	1336
Atox1	13	8	24	8
Zfp609	259	251	242	169
Rhobtb2	52	41	113	51
Mal2	0	0	0	0
Lmf2	19	16	19	10
Utp15	2791	2673	4431	3570
Rfesd	987	1008	1153	972
9930012K11Rik	108	64	289	166
Pura	15442	16972	20686	22053
Psmb6	588	482	662	404
Psmb4	1421	1239	1906	856
Tstd3	1580	1552	1034	828
Alkbh8	2847	2654	2140	1902
Tmem185a	460	462	695	358
Adgrg4	1	0	0	0
Plod3	198	160	263	94
Icos	0	0	0	0
Actl7b	0	0	0	0
Rgl3	31	11	4	4
Slc43a1	15	14	16	6
Rps13	11861	7698	10817	6439
Mpnd	14	14	12	5
2700062C07Rik	226	192	270	170
Tnmd	5	7	1	0
Tmem144	1241	1238	599	443
Myh4	0	0	0	0
Klk1b21	0	0	0	0
Lzts1	0	0	0	0
Gabrb1	448	435	21	25
Psme2	111	89	273	76
Psme1	146	68	297	125
Cyp2g1	0	0	0	0
Hoxaas3	0	1	0	0
Ccar2	103	83	154	82
Emd	653	421	646	308
Eln	0	0	0	0
Slx4	369	381	516	372
H60b	17	24	13	11
Epsti1	24	32	395	324
Ccdc183	0	0	0	0
Gmppb	13	7	18	8
Gsx2	0	0	0	0
Slc5a2	0	0	0	0
Ceacam19	2	0	1	0
Chd7	103	123	744	563
Clic5	11	15	6	5
Rbm31y	0	0	0	0
Mrpl44	242	269	407	254
2610524H06Rik	474	400	87	69
Zfhx4	5012	7052	2743	2433
Cpn1	0	0	0	0
Lmod2	0	0	0	0
Nat8f2	1	0	0	0
E030011O05Rik	129	139	198	105
H2-Q10	1	1	0	0
H2-DMb1	0	0	0	0
Gm20754	0	0	0	0
Muc2	0	0	0	0
Gm19434	25	34	33	20
Lgmn	830	827	945	639
Barx2	0	0	0	0
Acyp1	241	312	535	479
Metap2	24139	22678	24962	22498
Rps20	16810	13206	19494	12889
Rpl39l	1	1	3	2
Grik1	97	85	60	47
Timm44	839	708	862	668
Casp1	0	0	0	0
Fah	23	9	36	16
Ccdc187	0	0	0	0
Lrrc61	15	13	15	14
Ccdc157	152	145	134	109
Gm11837	133	142	62	41
9230102K24Rik	0	0	0	0
Zscan4a	0	0	0	0
Fbxl7	175	200	54	45
Lncenc1	21	21	8	8
Mannr	2	0	2	5
Olfr1508	0	0	0	0
E130114P18Rik	2	0	0	0
4833412C05Rik	6	6	1	5
Cox18	805	803	946	846
Tbck	2029	1938	2223	1939
Vdac2	11033	10766	22427	15376
Oas1f	1	0	0	0
Mir6934	0	0	0	0
Kank4os	12	13	9	10
Skint8	0	0	0	0
Tmem221	0	1	0	0
Pnma5	3	2	15	10
Olfr1202	0	0	0	0
Pcna	29614	29170	50356	42850
Zcchc8	3069	2728	3424	3576
Cdca8	1007	775	1086	812
Ntn4	56	34	56	38
Tmem248	1814	1509	1992	1580
Hmga2-ps1	557	551	2102	1253
Ptf1aos	0	0	0	0
Lncpint	22	24	9	5
Cyp2b13	0	0	0	0
Dhx40	3632	3361	3953	3441
Mocs1	12	19	17	4
Itfg2	125	114	171	88
Snx21	7	4	11	3
4930503E14Rik	44	58	2	2
Ppic	9243	8854	8643	7123
Ap3b2	0	0	0	0
2300009A05Rik	634	703	883	918
Clic3	0	0	0	0
Prss56	0	1	0	0
Lyzl6	0	0	0	0
Dennd6b	1	2	3	3
Slc29a4	0	0	0	0
Hpdl	4	3	3	2
Wdr78	194	238	286	238
Zfp280b	1341	1335	1802	1384
Arl5b	5822	6342	7987	7633
Nme5	5	13	7	5
Rbm42	16	14	15	4
Sco1	1586	1367	1827	1421
Cep170	20944	22868	42721	40992
Mir6338	0	0	0	0
Mir6336	0	0	0	0
2310001K24Rik	3	6	0	0
Car4	0	0	0	0
Manf	2035	1795	2765	1402
Pgs1	325	258	538	417
Olfr731	0	0	0	0
4933416M06Rik	0	0	0	0
Olfr557	0	0	0	0
Olfr574	0	0	0	0
Olfr564	0	0	0	0
Olfr677	0	0	0	0
Olfr168	0	0	0	0
Olfr521	0	0	0	0
Olfr692	0	1	0	0
Olfr633	0	0	0	0
Olfr706	0	0	0	0
Olfr1133	0	0	0	0
Gm32511	0	0	0	0
Ipp	1161	963	1272	1027
Cd9	11826	13066	17875	17076
Mospd4	3	2	3	0
2010106C02Rik	0	0	0	0
Ttc30a2	10	12	28	35
Mup11	0	0	0	0
Syn3	23	32	13	18
Klhl29	12	10	2	6
Mir381	0	0	0	0
Mir380	0	0	0	0
1700112J05Rik	0	0	0	0
5730522E02Rik	0	0	0	0
Mir1966	2	0	0	0
Mir219c	0	0	0	0
D030028A08Rik	86	84	105	71
Nkx2-2os	0	0	0	0
Gnl3	9078	7822	15438	12544
Mir3965	0	0	0	0
Mir3963	0	0	0	0
Tmem44	79	41	22	14
A230070E04Rik	0	0	0	0
Prkdc	5169	5174	7227	6227
Cfap300	1149	915	955	873
4930488L21Rik	0	0	0	0
A930012L18Rik	28	52	38	40
Bach2os	2	2	13	10
Btbd35f15	0	0	0	0
Pptc7	2442	2154	2638	2314
Lca5	558	595	602	561
Eef2kmt	20	30	77	43
Cmtm3	932	824	1385	1098
Ube2s	135	119	156	69
Adgrf1	0	0	0	0
Med30	3514	4097	4807	3515
Vmn2r41	0	0	0	0
Vmn2r40	0	0	0	0
Pira7	0	0	0	0
Fam177a2	0	0	0	0
3830417A13Rik	0	0	0	0
Gm3376	0	0	0	0
D330023K18Rik	51	47	42	42
Scrn2	8	6	4	2
Ube2d-ps	150	171	195	111
Gm12238	469	294	537	527
Retreg2	157	156	254	122
Chkb	24	14	34	4
Mir302c	0	0	0	0
Rnf135	87	64	144	62
Gm21312	0	0	0	0
Gm2022	3	5	0	1
Gm9999	0	0	0	0
Gm3985	0	0	0	0
Ppp1r12c	45	30	44	21
Acat3	3	3	1	4
Tbl1xr1	10034	10083	12488	12260
Arhgap30	25	27	15	12
Samd3	2	11	2	0
Snord71	4	8	4	2
Cyp2s1	0	0	0	0
Lrrc20	112	101	154	97
Zbtb8b	6	1	6	2
Spaca3	0	0	0	0
Dnajb8	0	0	0	0
Stat2	128	92	202	109
Rpl24	3724	2146	4100	2422
Bbs9	266	221	258	172
Nudt15	53	56	134	90
Ttc24	0	0	0	0
Best2	1	2	0	0
Nucks1	91489	92296	117583	111407
S100a6	12512	7832	10958	3863
Gm4736	0	0	0	0
Anp32b	6513	4663	7284	6130
9530002B09Rik	0	0	0	0
A730020E08Rik	27	40	19	8
Mir16-1	204	178	313	347
Rnf212b	0	0	0	0
Mirlet7a-1	435	458	854	651
Dzank1	99	95	65	78
Eef1a1	223161	215649	306226	200909
Ppp1r14bl	0	3	0	0
1700029H14Rik	0	0	0	0
Slc9a3r2	35	23	31	13
Apbb1ip	529	619	800	739
Smcp	0	0	0	0
Ifna5	0	0	0	0
Supt6	905	545	1133	499
Ifna2	0	0	0	0
Ier5	6145	6395	12756	10658
Gna11	147	105	195	79
Icam2	0	0	0	0
Siah1a	1826	1967	2108	1684
Shmt1	379	314	592	401
Siah2	248	207	342	238
Stc1	182	185	1205	1165
Hyal2	82	90	146	42
Zfp786	22	14	20	16
Neto1	0	0	0	0
Ccdc92	11	19	22	20
Ncaph	2343	2191	3027	2196
Ppp1r42	10	7	5	8
Klc4	1	1	2	0
5430427O19Rik	2	1	0	0
Iqschfp	0	0	0	0
Gml2	0	0	0	0
Gprc5d	0	0	0	0
Wdfy1	3857	3844	2967	2651
Olfr549	0	0	0	0
Olfr613	1260	1645	1360	1098
Olfr616	0	0	0	0
Olfr630	0	0	0	0
Gm29089	0	0	0	0
Far1os	0	0	0	0
Acp2	1040	868	953	744
Vaultrc5	25	11	14	8
Gm1720	12	23	31	21
Vmn1r179	0	0	0	0
F11r	104	101	148	69
1700008P02Rik	0	0	0	0
Sdr9c7	0	0	0	0
Prpf4	1540	1538	2853	2162
Cmtm8	3	4	11	10
Mir24-2	0	1	1	2
Foxd4	0	0	0	0
Lrrc72	0	0	0	0
Gm16863	0	0	0	0
Mir3472	0	0	0	0
Zfp433	0	0	0	0
Vps26a	9226	8683	13041	11414
Tank	7853	8400	10422	10067
Mir6927	0	0	0	0
Mir6926	0	0	0	0
Mir6923	0	0	0	0
H2az1	87081	91546	113592	106326
Zpr1	428	321	654	489
4930419G24Rik	0	0	0	0
Mir6337	0	0	0	0
Gpr17	0	0	0	0
Zkscan2	0	1	0	0
Itprid1	1	0	1	1
Kctd16	1	0	2	1
Erp29	99	54	103	30
4930425L21Rik	0	0	0	0
Mir8104	0	0	0	0
Higd1c	0	0	0	0
Mterf1b	62	39	118	90
4930511A02Rik	1	0	0	0
Emc8	579	501	556	339
Akr1e1	427	363	405	351
4930512M02Rik	329	388	302	340
Mir3471-2	2	3	0	0
4930513D17Rik	0	0	0	0
Mpc2	2989	3054	3275	2553
Spdl1	2049	2059	3160	2295
Prep	5615	5326	6946	5690
Prkrip1	171	145	240	116
Sprr2f	1	2	0	0
Pdcd6	3630	3708	5908	5072
9030404E10Rik	0	0	0	0
Cldn34c4	0	0	0	0
Klhdc8a	85	46	115	44
Rasip1	0	0	0	0
Pramel1	0	0	0	0
Pik3ap1	1	2	0	1
Ogfr	118	70	159	54
Tmem143	20	6	11	10
Gm11186	0	0	0	0
Hsd17b2	0	0	0	0
Vtn	0	0	0	0
Psg19	2	0	0	2
Upk3bl	0	0	0	0
Gimap3	0	1	0	0
Pcdhga12	13	17	18	28
Glyat	16	10	3	3
D730050B12Rik	0	0	0	0
Tmem237	1728	2049	2199	2126
Asb11	3	10	8	15
Egfbp2	0	0	0	0
Gm5476	0	0	0	0
Pax6os1	0	0	0	0
Dio3os	0	0	0	0
Emx2os	245	249	198	206
Gm5088	45	30	57	36
Psg-ps1	0	0	0	0
Igf2os	5	0	3	2
Rhbdd1	1119	1057	1357	1136
Svep1	725	658	257	146
Hoxaas2	51	48	139	117
Mir194-2	0	0	0	0
Rasl11a	54	67	23	11
Cd177	0	0	0	0
Ugt2b5	0	0	0	0
Onecut1	0	0	0	0
Sos1	4688	5617	5115	4859
Skp1a	27756	23771	28757	25073
Lamc3	0	0	2	0
Gm6042	0	0	0	0
Gm5477	0	0	0	0
1700060C16Rik	0	0	0	0
Mlxipl	0	0	1	0
Snora44	12	4	16	10
Denr	5310	4524	7153	6288
Sim2	0	0	0	0
Sox8	2	0	1	0
Tmem39a	1187	1217	1574	1059
Fcho1	0	0	0	0
Rftn2	341	303	465	377
Rap2b	4666	4612	5014	4521
Il31	0	0	0	0
Ear10	0	0	0	0
Gm13497	8	14	7	8
Gm19619	16	16	28	27
Nppa	1	1	0	0
Npm1	262348	263595	361579	326650
Npdc1	12	2	7	1
Npc1	496	529	641	394
Olfr1218	0	0	0	0
Olfr1156	0	0	0	0
Myo15	0	0	0	0
Dnajb12	177	144	172	119
Mindy1	66	64	186	71
Ttc23l	2	1	2	1
Tnnc2	0	0	0	0
Tlx2	1	0	0	0
Zhx1	2847	2744	5429	4640
Zfy2	0	0	0	0
Zfy1	0	0	0	0
Vmn1r139	0	0	0	0
Vmn1r135	0	0	0	0
Gm614	0	0	0	0
Ern2	0	0	0	0
Gnasas1	90	76	210	97
Efl1	781	845	1445	909
Lrrc14	85	66	124	40
Gm30083	0	0	0	0
AA467197	16	12	11	15
Hcn2	0	1	1	0
Serpind1	0	0	3	4
Kcns1	0	2	0	1
Fasn	639	375	598	361
Bmp15	2	5	2	7
Bmp10	0	0	0	0
Hgfac	0	0	0	0
4933411K16Rik	0	0	0	0
4933417A18Rik	0	0	0	0
Adat2	159	152	210	88
Erlec1	2494	2862	2607	2743
2210016F16Rik	102	97	429	282
H1f7	0	0	0	0
Mcemp1	0	0	0	1
Casp6	640	820	1259	1175
Ddx3x	140675	136576	185483	182737
C130050O18Rik	1	0	0	0
Defa40	0	0	0	0
Cdk5rap1	164	130	201	99
Plpp6	672	666	763	676
1700052K11Rik	325	268	257	160
4931440P22Rik	9	9	11	11
Myl7	0	0	0	0
Cst13	4	6	0	0
Ak6	1136	1142	1940	1356
Mir7685	0	0	0	0
Mir3064	387	332	391	367
Trp53cor1	8	5	3	2
Mir7236	0	0	0	0
Mir7233	0	0	0	0
Plut	0	0	0	0
9430014N10Rik	0	0	0	0
9430078K24Rik	0	0	0	0
Vmn2r12	0	0	0	2
Cep78	1054	891	1108	858
Aadacl4fm1	0	0	0	0
Stpg2	11	10	9	10
Sptlc3	0	0	0	0
4930519F16Rik	24	22	18	22
Kcnu1	0	1	1	1
Sftpc	0	0	0	0
Ero1l	4424	4264	10254	9338
Olfr12	0	0	0	0
Mir873a	3	10	7	1
Mir654	2	0	0	0
C1ql3	5605	5802	749	666
Vmn1r149	0	0	0	0
Vmn2r25	0	1	0	0
Vmn2r24	0	0	1	0
Mir7237	0	0	0	0
Itih5l-ps	0	0	0	0
Rnaseh2c	45	31	73	23
Cul7	35	23	39	12
Olfr1358	0	0	0	0
Mir222	79	76	161	208
Pcdhga8	16	9	12	9
Bod1l	9999	9476	8434	6298
Tmem47	14144	15723	12456	14165
N4bp1	2661	2553	2746	2225
Snx4	4524	4530	5120	3484
Gm20594	46612	50877	70118	73416
4933416I08Rik	0	0	0	0
Slc15a1	32	33	43	33
Eif2b1	586	513	933	497
Eif4b	17512	17352	22701	16647
Mir7238	0	0	0	0
Trmt13	1509	1549	1835	1537
4930556G01Rik	1	0	0	0
Tcstv3	0	0	0	0
AF067061	0	0	0	0
Pld1	200	158	174	170
Gtf2h4	83	47	84	63
Asb12	0	0	0	0
Gm36028	0	0	2	0
Gm16325	1	0	0	0
Zc3h15	16125	14490	20246	16688
Triap1	54	33	66	23
Ebna1bp2	1446	1685	2879	1136
4930555G01Rik	56	58	23	16
Map3k3	432	384	634	287
Atp1b2	0	0	1	0
Diaph2	3686	4136	3360	3338
1700109I08Rik	0	0	0	0
Lrrc36	0	2	0	0
Mtfmt	405	391	397	296
A630095N17Rik	0	0	0	0
Pus3	2882	2455	2392	2256
Gemin7	126	56	91	41
Huwe1	13533	13110	14919	10952
Rspry1	4333	4362	5005	4610
Akr1a1	5582	4080	6858	4065
Cfap157	0	1	0	0
Dhrs1	89	119	307	130
Cilp2	0	0	0	0
Trem3	0	0	0	3
Adra1d	20	18	7	3
Hbb-b2	0	0	0	0
Tnfsf11	54	70	976	1008
Mrap	0	0	0	0
Olfr389	0	0	0	0
Olfr393	0	0	0	0
Olfr394	0	0	0	0
Olfr392	0	0	0	0
Olfr395	0	0	0	0
Olfr399	0	0	0	0
Eapp	1781	1703	1948	1481
Luc7l3	18025	17049	20787	18919
A430057M04Rik	4	10	8	12
Cab39	16688	16558	22875	21411
Nup155	11622	12155	14415	11495
Prtn3	0	0	0	0
1700020N18Rik	0	0	0	0
C030034I22Rik	101	100	127	120
Masp2	14	17	8	7
Eno1	918	650	1671	513
4631405J19Rik	0	0	0	0
Rpl37a	1425	1382	2095	1123
Gabra2	10	10	9	12
Alpk2	1	0	0	0
Creb1	13558	13527	17999	18084
Hsd3b5	0	0	0	0
Il10rb	908	831	984	817
Nxph3	0	0	0	1
Snx18	4321	4455	4712	4244
Gm19757	27	39	43	31
Apol7c	0	0	0	0
Ebf4	1	1	0	0
Cul4b	48328	47181	42077	43512
Ube2ql1	3	1	0	0
Btbd18	1	1	3	4
Hhla1	5	4	0	0
Gm13889	0	0	2	0
4930407I10Rik	0	0	0	0
Pdik1l	1910	2084	2750	2409
Fam76a	2164	2301	3725	3319
Gm867	0	0	0	0
Dnase1l2	1	0	0	0
Six3	9	11	7	7
Six2	24	26	34	19
Chmp4c	541	573	27	13
Olfr138	0	0	0	0
Ttc26	1115	1127	1195	978
Igsf8	6	4	20	10
Mir7240	0	0	0	0
Mir1968	0	0	0	0
Vmn2r31	0	0	0	0
Vmn2r63	0	0	0	0
Fndc7	0	2	0	2
Tedc2	441	381	582	391
Slc5a5	3	2	7	3
Tmem125	0	0	0	0
Fndc3a	4532	5005	5787	5294
Mir7241	0	0	0	0
Serpina1b	0	0	0	0
Krtap27-1	0	0	0	0
Ift22	15	6	11	3
Fbxo24	4	3	0	0
Rufy2	1942	1943	1917	1886
Rab10os	193	199	247	243
Cdipt	725	684	992	567
A830009L08Rik	1	4	5	3
Mir203	0	0	0	0
Shisal2a	0	0	0	0
Mfsd4b5	37	28	33	29
Jazf1	73	107	25	19
Frmpd4	0	0	2	2
Cox5b	273	240	407	181
Cdh6	642	709	24771	24265
Mob2	52	41	62	26
Rpl8	211	164	275	135
Mnt	93	138	151	117
Hoxd13	0	2	0	0
Hoxd12	0	0	0	0
Pcdhb3	0	10	4	18
Tmem177	86	55	88	30
Rnf166	387	353	522	385
Tmem140	1	2	14	3
Rdh16f2	0	0	0	0
Klra18	688	751	631	690
Klra22	55	43	37	24
Gm31763	0	0	0	0
Rpl34	11	13	20	13
Pcdhb14	41	49	6	10
Pcdhb13	1	7	0	3
Abhd17a	10	8	47	13
Ttc1	1562	1397	1706	1387
Nmd3	9618	9412	11708	9542
Aaas	143	85	269	102
H2-M10.2	0	0	0	0
Emc7	2935	2822	4274	3377
Gpn1	716	547	623	473
Prelid3a	53	46	6	4
Sumo2	60727	64492	81413	68969
Mapre3	11	9	24	12
Asb6	5	9	5	7
Rab29	60	47	70	30
Uhrf2	7444	6838	9013	6856
Etv5	390	411	729	595
3110099E03Rik	9	5	10	9
Aadacl2fm2	0	0	2	0
Mir7242	0	0	0	0
Parp2	838	754	1290	894
Scgb1b3	0	0	0	0
Pramef6	0	0	0	0
Smim9	4	5	2	1
Amigo2	138	106	295	259
Scd1	8202	8974	8428	6844
Csl	0	0	0	0
Xndc1	394	338	368	291
Mrps33	3902	4587	4689	3082
Gdap1	4	14	0	0
Gda	40	37	155	137
Clip2	15	11	47	29
Tcp11x2	1	2	0	2
Hao2	0	0	12	17
0610009B22Rik	996	1041	1654	1386
Mir344	0	0	0	0
Akap3	0	0	1	0
Skiv2l	435	540	898	565
Gm9731	0	1	0	0
5430440P10Rik	6	5	4	2
Gm29684	3	5	1	0
Gm13088	0	0	0	0
Trmt9b	0	0	0	0
1700022I11Rik	0	0	0	0
Nanp	1733	1847	2450	2358
Pbld2	10	8	8	13
Kat2a	85	45	92	32
Cdt1	455	647	738	401
Cd200r1	7	2	1	0
Myg1	48	30	27	17
Fgfbp3	415	465	457	476
Gm19461	0	0	0	0
Msx1	21	21	2	2
Notch4	9	7	18	17
Tex15	1341	1471	720	739
Dph5	435	424	514	305
Ttl	500	451	721	583
Fthl17e	0	0	0	0
Mettl16	6822	5211	4402	3561
Setmar	129	99	89	68
Ipo4	227	211	529	230
Hdac11	1	0	0	2
Hamp	0	0	0	0
Ifnb1	0	0	0	0
Mcm3ap	592	516	686	406
Gm6121	0	0	0	0
Scgb1b24	0	0	0	0
Dact3	47	26	46	20
Nlrc3	89	75	110	77
Sbpl	0	0	0	0
Olfr1306	0	0	0	0
Zfyve27	143	112	160	79
2610020C07Rik	148	178	193	167
Sncg	0	0	1	0
Snai1	17	16	40	8
Siglec1	0	0	0	0
4933409F18Rik	0	0	0	0
Rab3gap2	2119	1933	2379	1902
Adipor1	7166	8010	11521	8026
Rnft2	4	1	3	5
Ifngr1	2010	1826	1601	1548
Plekha8	2000	1802	2126	1632
Mir6546	0	0	0	0
Prickle4	0	0	0	0
Fam219a	16	17	3	7
Creg1	246	214	143	110
4930554C24Rik	0	0	0	0
1700020M21Rik	0	0	0	0
Jhy	0	0	0	0
Olfr773	0	0	0	0
Tgif2lx1	0	0	0	0
Ifna14	0	0	0	0
