NAME	DESCRIPTION	N4_2	N4_3	N4_4	N7_2	N7_3	N7_4	N9_2	N9_3	N9_4
ZNF837	na	48	44	42	50	52	40	65	52	49
SLC16A2	na	396	406	460	444	478	405	474	395	373
SOAT2	na	3	5	5	4	3	1	3	1	2
LINC00536	na	0	0	0	6	10	11	7	4	2
RAD21-AS1	na	10	11	14	23	20	26	18	19	9
BTNL10	na	0	0	1	0	0	1	0	0	0
SNORD168	na	0	0	1	2	2	3	1	2	4
AGAP2-AS1	na	0	0	0	0	0	0	0	0	0
AFAP1-AS1	na	1	0	0	0	1	0	0	0	2
GABPB1-IT1	na	256	227	298	360	324	321	373	312	264
TMPRSS12	na	0	0	0	0	0	0	0	0	0
FNDC8	na	0	0	2	1	0	0	0	0	1
ICAM1	na	2	0	0	2	3	1	1	0	0
SLFN12L	na	0	0	0	2	1	1	0	0	0
FAM83A-AS1	na	0	0	0	0	0	0	1	0	0
MIR4663	na	1	0	0	1	0	1	0	2	0
MIR548D1	na	23	21	27	26	10	25	27	14	18
XYLT2	na	545	439	650	825	769	839	869	762	638
DRAP1	na	4321	3408	5904	4461	2526	3911	5482	4861	4100
RPL9	na	8114	5679	9641	11653	7359	11333	11395	9230	8612
NXPH3	na	285	139	113	733	301	701	416	279	288
LOC101927588	na	1	0	0	0	0	0	0	0	0
RNF139-AS1	na	42	29	49	55	46	56	48	27	32
NDUFB9	na	1590	1254	2030	2194	1440	2144	2411	1974	1829
ZNF24	na	1038	828	1189	1404	882	1287	1330	1007	957
TMEM221	na	14	16	18	43	52	45	42	45	35
MGP	na	1	1	0	4	2	3	0	1	0
CASC3	na	1611	1362	1774	1967	1550	1928	2064	1775	1675
LOC105375744	na	1	0	2	2	3	2	2	0	0
LOC101927657	na	0	0	0	0	0	0	0	0	1
CASC21	na	1	1	0	0	0	0	1	0	0
MIR1206	na	5	11	0	8	5	6	6	4	2
LINC00976	na	1	1	1	2	5	4	1	1	1
LINC00977	na	2	0	1	3	0	2	5	0	3
MIR3686	na	0	0	0	0	2	0	0	0	0
SNX32	na	49	37	36	50	55	76	33	42	26
PRKCG	na	25	30	15	14	49	24	16	14	18
STC2	na	344	299	398	693	422	743	638	557	454
REL	na	470	457	531	661	640	625	710	605	516
TG	na	0	1	0	1	0	1	0	1	1
PIP4K2B	na	14	39	8	110	6	194	83	104	7
RB1	na	547	508	580	921	710	866	726	569	523
OR2D2	na	5	5	6	12	2	4	8	9	2
PIR	na	98	81	122	133	96	170	166	124	111
CILP	na	4	0	2	4	0	0	1	2	2
NAT2	na	0	0	0	0	0	0	0	0	1
DDX18	na	1815	1532	2057	2395	1551	2244	2602	2065	1861
PCDHGA9	na	13	19	14	11	26	20	13	8	7
PLEK	na	1	0	1	4	1	3	3	2	3
MIR5194	na	3	0	0	2	2	5	2	2	1
ASAP1-IT2	na	15	14	9	19	21	17	14	10	8
ITLN2	na	0	0	1	1	1	0	0	0	0
HECTD3	na	171	186	213	513	518	524	391	340	328
PANK3	na	2296	2066	2822	3852	2484	3693	3288	2421	2390
SRD5A3	na	624	508	739	733	528	740	754	627	564
HEATR6	na	643	580	758	861	668	824	797	651	603
EIF3A	na	7363	5836	8534	10756	6708	10342	10178	8457	7789
TSTD3	na	154	149	245	162	102	181	222	169	170
MSH2	na	2328	1869	2718	3350	2505	3180	3073	2751	2317
PTCSC1	na	0	0	0	0	0	0	0	0	0
MAN1A2	na	1441	1202	1711	1973	1259	1978	2171	1781	1610
NCRNA00250	na	0	0	0	0	0	1	0	0	1
LOC101927845	na	1	0	0	0	1	0	0	0	0
PDSS1	na	412	355	482	596	426	589	620	565	498
NINJ1	na	231	206	279	677	500	595	623	497	414
PTGER4	na	57	65	101	104	57	92	56	61	42
TACR2	na	5	2	2	11	2	8	12	4	12
PEG13	na	17	41	45	24	60	38	54	35	35
MOSMO	na	279	249	361	351	253	357	347	284	271
SBK3	na	13	6	10	9	23	19	12	5	11
RPL29	na	6535	4997	8029	9574	6025	9810	10299	8668	7696
SHC3	na	2	0	0	20	25	29	1	5	2
GTPBP10	na	483	368	598	671	424	667	840	609	582
ACTC1	na	0	0	0	0	0	0	0	0	0
LOC728392	na	74	83	115	200	140	157	186	136	155
DSEL	na	2	2	0	0	0	0	0	0	0
PRPS1	na	1591	1234	1882	2059	1241	1883	2245	1896	1696
SYMPK	na	621	815	678	945	1453	1152	996	985	744
DDX23	na	2144	1679	2615	2970	2033	2947	3209	2849	2385
SPACA4	na	0	0	0	1	0	1	0	0	1
LOC101928087	na	0	0	0	0	0	0	0	0	0
GCC1	na	464	399	592	806	574	805	830	698	629
STPG2	na	5	3	5	8	2	7	5	3	2
LY6E-DT	na	4	2	4	2	3	6	5	4	2
SYCE2	na	68	57	94	77	64	71	64	55	67
HMX3	na	12	5	7	2	3	1	9	4	2
MFSD13A	na	177	150	211	218	232	208	239	231	187
MAFA-AS1	na	0	1	1	0	1	1	0	1	0
SNORD149	na	3	3	1	2	4	3	3	0	4
DMAP1	na	238	202	272	343	305	329	299	288	227
ZNF614	na	328	244	373	476	294	501	499	360	351
PIAS3	na	794	819	835	1347	1402	1309	1074	867	770
QPCT	na	0	0	0	1	0	0	1	1	0
MIR6846	na	0	0	0	0	1	2	1	1	1
MIR6847	na	9	3	3	4	3	6	7	9	7
SEC62	na	1611	1230	1791	1948	1215	1877	2241	1803	1589
ITIH3	na	2	0	0	2	1	0	1	0	2
LOC101928902	na	1	0	0	1	0	0	0	1	1
MSMO1	na	572	393	684	1373	878	1398	974	682	702
PAM16	na	5	0	3	5	3	7	3	6	9
NDUFA13	na	2153	1608	2706	2707	1960	2625	3132	2572	2274
EDAR	na	0	0	0	7	5	10	2	0	0
RPA3	na	762	528	980	947	555	893	990	771	783
MIR6850	na	0	1	0	0	0	1	0	1	1
LOC100130027	na	67	86	74	134	193	189	137	123	99
TMEM126A	na	455	329	575	598	284	509	441	324	319
ZNHIT2	na	217	169	254	343	209	327	376	370	290
ZNF252P	na	414	301	536	718	481	749	727	523	554
TMED10P1	na	0	0	1	3	1	1	0	1	1
ZNF252P-AS1	na	22	22	27	31	23	26	23	25	34
YIPF7	na	1	0	0	0	0	0	0	0	0
RNF223	na	5	3	4	37	63	37	7	0	1
PCED1A	na	352	336	404	869	695	833	708	646	529
FBXO45	na	663	523	754	1237	811	1168	1159	1012	921
RPL27A	na	9808	7258	11836	17278	9758	16727	15683	12041	11455
ACTA1	na	0	3	2	1	0	3	3	3	0
RBM20	na	15	23	16	3	5	1	22	27	14
SEZ6	na	1	0	1	1	0	0	0	0	0
CDH15	na	12	7	5	8	26	9	15	8	12
TAF9B	na	1069	839	1273	1003	699	939	1355	1042	980
AKR7A2	na	543	496	729	1120	951	1114	936	794	709
PRPF38A	na	1100	936	1297	1546	1016	1526	1642	1295	1232
AARD	na	109	91	134	479	288	464	372	237	260
NGFR	na	23	14	28	9	8	5	5	5	2
SNED1	na	65	69	68	198	229	191	82	59	47
CHST2	na	45	35	53	125	67	135	135	116	87
MRC1	na	0	0	0	2	1	3	0	1	0
SOX13	na	88	62	60	123	122	109	67	50	40
RETSAT	na	304	262	313	852	641	973	610	537	492
RPL35	na	6375	4597	7670	9903	6229	8929	10147	8919	7828
IRAK3	na	16	13	11	9	12	15	11	6	9
PYROXD2	na	2	1	3	3	2	2	1	1	0
NOXRED1	na	5	8	8	9	17	22	13	6	10
TRPC1	na	349	293	425	871	604	805	1020	758	672
ADCK2	na	575	438	734	605	411	573	1109	849	848
RRP1	na	980	820	1156	1685	1083	1732	1805	1521	1332
NUFIP2	na	4316	3783	5404	5464	4254	5752	6017	5257	4818
HSBP1L1	na	246	215	299	365	239	319	322	262	229
IFI27L2	na	1	2	2	0	0	1	1	1	2
DDX11L5	na	0	0	0	0	0	0	1	0	0
CCDC106	na	693	614	915	978	832	857	997	865	773
EPG5	na	284	260	311	348	413	419	382	302	301
NKX6-1	na	1	0	0	0	1	1	0	0	0
MTG2	na	397	340	518	624	498	603	679	592	569
MVD	na	326	245	392	921	830	1017	496	450	395
CRTAC1	na	0	0	0	0	0	0	0	0	1
RFX3-AS1	na	59	73	65	111	94	79	62	49	54
CDC37L1-DT	na	17	11	20	23	10	15	11	10	6
NEK5	na	8	14	11	55	42	70	48	29	24
MIR4665	na	0	0	0	0	0	1	1	0	0
CDK13	na	1092	924	1211	1599	1288	1511	1563	1223	1186
ULK1	na	231	211	229	234	277	277	200	250	183
TSEN54	na	372	324	443	682	427	712	759	628	526
CYP4V2	na	436	379	542	654	478	644	580	413	434
ITGA11	na	1	0	0	1	0	0	0	0	0
FLVCR2	na	32	34	60	25	13	12	21	17	20
SMYD2	na	1097	836	1225	1854	1134	1771	1563	1231	1042
PTPRD-AS2	na	0	0	0	0	0	0	0	0	0
LURAP1L-AS1	na	2	5	6	8	2	8	12	13	9
SNORD137	na	2	2	3	12	8	13	14	12	8
SLC27A2	na	157	119	225	49	45	68	42	29	26
LINC01235	na	27	17	9	0	0	2	0	1	0
IFT172	na	253	234	288	401	354	386	292	289	252
ZSWIM9	na	57	56	71	142	142	144	85	63	40
AKAP6	na	2134	2436	2394	1622	1451	1505	2183	1874	1581
HIBCH	na	743	686	925	784	634	827	795	669	562
LOC389705	na	1	1	0	1	0	0	1	4	4
RHPN2	na	298	280	358	579	544	578	325	312	239
NAA25	na	1591	1393	1721	2691	2007	2595	2612	2012	1829
TGFBR3L	na	1	2	2	2	1	1	0	0	0
TMEM50A	na	671	522	758	934	607	887	655	553	522
PTPN14	na	2906	3141	2966	4407	3812	4331	2381	1868	1785
SCARNA8	na	16	3	11	6	7	12	10	8	11
MIR4473	na	0	0	0	0	0	0	3	3	0
MIR4474	na	0	0	0	0	0	0	0	0	1
FOCAD-AS1	na	1	2	4	7	2	2	7	10	7
SNORA30B	na	4	4	15	13	4	7	14	9	5
LINC01239	na	3	2	1	175	121	143	180	165	152
LOC101929563	na	1	0	0	0	0	0	0	0	0
MAP3K10	na	138	98	118	200	193	179	158	159	120
ZNF705E	na	9	7	14	10	6	6	10	7	5
IFT74-AS1	na	2	3	5	6	3	3	5	7	1
MYH3	na	51	37	55	64	87	99	61	65	57
LINC00032	na	0	0	2	2	0	0	0	1	0
ADHFE1	na	29	18	16	27	33	37	37	41	42
STX17	na	849	763	989	1549	1191	1556	1470	1243	1126
CBLN3	na	49	35	53	52	52	62	46	41	34
URB1	na	1711	1596	2178	2498	1943	2822	2703	2303	2110
B4GALT1-AS1	na	5	3	8	10	3	13	10	8	7
MBOAT1	na	336	273	360	207	141	186	225	165	163
MIR6851	na	2	1	1	2	2	1	3	3	0
SUGT1P1	na	21	22	20	31	16	26	52	23	23
PTENP1-AS	na	43	45	45	31	31	43	53	25	19
LINC01251	na	0	0	0	0	0	0	0	0	0
SNORD121A	na	7	4	7	9	3	14	8	3	6
TMEM115	na	441	363	569	719	504	732	722	688	633
WDHD1	na	1596	1232	1727	2013	1354	1880	2160	1718	1608
KRI1	na	620	515	756	1022	647	985	1002	912	808
TMEM150C	na	135	113	189	218	189	234	185	157	144
FLJ44635	na	8	9	11	30	32	19	22	33	36
LINC00514	na	2	1	2	3	1	2	3	1	3
MIR1277	na	1	2	0	4	1	3	1	2	1
DNAJB5-DT	na	0	0	0	1	0	0	1	0	2
CDC37	na	2963	2250	3493	4054	2798	3690	3707	3550	2938
CISD1	na	427	328	508	772	520	750	1038	839	750
H2BC8	na	532	274	392	4962	3118	4755	4688	3958	3518
H2AC17	na	3906	3064	4821	5791	3127	4749	5551	4634	3869
H2AC4	na	1164	869	1534	2263	1081	2030	1986	1680	1361
H3C1	na	0	0	1	1	1	0	3	0	3
ATP8B5P	na	1	3	4	2	2	2	2	0	1
TP53RK	na	444	359	548	731	404	675	771	611	585
MIR4667	na	0	0	0	1	1	0	0	0	0
LOC101926948	na	2	1	4	1	1	2	2	4	3
C9orf50	na	1	0	2	2	3	0	1	2	2
RPS28	na	2499	1887	2817	4201	2790	4367	4567	4089	3255
SPDYC	na	0	0	0	1	1	0	0	0	0
MZB1	na	9	4	1	3	3	8	6	9	2
RBP2	na	0	1	0	1	0	0	0	0	0
EBLN3P	na	1008	848	1125	1281	921	1256	1469	1325	1232
TOMM5	na	1824	1401	2115	2747	1447	2551	3109	2494	2232
METRN	na	570	522	657	1346	957	1074	1312	1196	915
FAM95C	na	25	56	29	50	128	63	47	50	29
BBS7	na	563	471	679	1051	705	1015	830	674	637
SYNGR3	na	19	27	32	125	125	96	52	38	31
ZNF658B	na	49	40	79	31	37	37	32	35	35
GLIDR	na	143	92	173	130	75	133	129	98	118
FGF7P3	na	25	30	48	49	32	51	34	36	48
LOC102724238	na	3	4	2	0	0	4	2	0	0
MFSD4B	na	296	286	408	332	317	390	399	325	316
GXYLT1P3	na	2	1	0	0	0	0	2	0	0
AQP7P3	na	5	4	3	4	8	8	3	6	3
FRG1HP	na	165	122	162	224	245	255	241	269	197
PGM5P2	na	5	8	3	1	1	3	1	4	0
LOC440896	na	0	0	1	0	0	0	0	0	0
LOC107984035	na	107	116	164	125	76	132	112	97	98
FAM27E2	na	5	2	1	3	3	3	4	6	6
LOC103908605	na	20	14	28	30	31	21	21	16	24
XLOC_007697	na	0	0	0	0	0	0	0	0	0
FAM27C	na	1	4	8	21	9	17	7	12	9
LOC105379807	na	0	0	0	1	1	1	0	0	0
LOC102723709	na	0	0	2	0	0	0	0	2	0
FGF7P6	na	10	14	29	21	8	22	31	24	17
LOC103908604	na	1	1	1	0	1	0	0	2	0
LOC100132249	na	190	168	236	172	134	136	191	146	138
PTGER4P2-CDK2AP2P2	na	18	16	17	15	11	12	16	14	16
LOC728673	na	115	86	141	132	59	89	112	87	73
AQP7P1	na	2	9	2	7	10	14	12	3	5
LINC00537	na	20	30	30	42	67	31	34	35	19
FRG1JP	na	5	9	8	8	14	16	21	14	14
FLJ43315	na	21	24	35	28	48	59	33	30	23
ANKRD20A4-ANKRD20A20P	na	0	0	0	0	0	0	0	0	1
CNTNAP3P2	na	59	64	90	83	56	91	107	78	73
FAM27E3	na	13	11	14	33	27	38	35	48	33
FAM27B	na	38	29	45	56	61	83	124	158	89
BRPF3	na	319	395	329	365	481	424	354	319	272
THAP1	na	212	164	248	372	220	336	316	276	263
ZFHX2	na	32	63	55	22	82	46	14	29	20
MAMDC2-AS1	na	0	2	2	2	8	5	3	2	3
SMC5-AS1	na	31	45	37	43	66	52	63	42	51
GGH	na	1755	1357	2045	2444	1411	2234	2222	1782	1574
TCF25	na	2255	2024	2680	3034	2449	3156	3025	2696	2103
AMY2B	na	17	19	18	46	33	37	46	38	45
EID1	na	3388	2601	4023	4587	2772	4156	4636	3707	3377
SMG9	na	407	391	483	584	524	583	526	559	481
TRIM28	na	6124	5269	7500	8602	6697	8898	9317	8007	6818
LATS2	na	794	716	877	999	699	930	731	642	517
TFB2M	na	466	336	518	665	423	650	882	644	585
LINC01504	na	0	0	1	0	0	0	1	1	1
LINC01474	na	12	14	11	16	8	9	8	7	4
RAC2	na	1	0	0	1	3	1	1	0	2
CARNMT1-AS1	na	5	5	11	9	3	6	5	8	6
RPSAP9	na	8	7	8	11	12	8	15	7	9
VPS13A-AS1	na	0	0	0	0	1	1	0	1	0
GNA14-AS1	na	0	3	3	0	0	1	0	0	0
LGR4-AS1	na	0	0	2	4	7	9	7	4	9
ROMO1	na	803	633	1039	1472	834	1437	1512	1148	1165
LRRC63	na	9	8	7	6	10	7	7	2	8
LOC101927502	na	1	0	1	0	0	1	0	0	0
CHSY3	na	8	5	3	22	12	19	19	25	21
LOC105376114	na	24	14	26	37	22	34	41	43	39
OPHN1	na	163	131	176	181	214	249	205	134	137
CTDSPL	na	621	546	750	1079	841	1080	1306	1083	1014
FH	na	1709	1370	2253	2813	1796	2664	3322	2819	2598
TTPA	na	345	358	468	285	211	270	235	177	193
LOC101927575	na	0	0	0	0	0	1	0	0	0
AGPAT2	na	396	326	419	825	671	739	797	627	552
LOC389765	na	89	88	109	108	105	158	87	90	90
KRT83	na	1	0	0	1	4	4	1	1	1
C9orf153	na	3	4	5	2	4	2	1	4	3
GAS1RR	na	3	4	4	2	4	3	0	1	0
INTS5	na	339	318	488	543	555	663	621	579	482
MIR3153	na	15	15	28	34	10	53	33	25	17
LINC01508	na	0	0	0	2	1	2	0	0	0
LOC100129316	na	0	0	0	0	0	0	0	0	0
LOC100128076	na	2	0	1	0	4	1	0	0	0
CHMP7	na	783	670	1033	956	602	936	1019	846	791
MIR3651	na	0	0	1	2	1	0	2	1	0
SNORA84	na	1	2	3	3	3	7	3	6	3
HSD17B3	na	2	0	1	2	3	0	2	2	2
IL2RG	na	0	0	0	0	0	0	0	0	0
COX6C	na	2164	1486	2605	4837	2372	4652	3142	2456	2413
ADAMTS1	na	1047	502	471	11541	6658	10170	5246	3712	3438
CRLF1	na	99	104	131	49	45	47	65	51	37
DVL2	na	728	757	939	1014	886	1095	935	1030	756
LOC101929748	na	5	1	2	4	3	3	32	16	12
ANKRD19P	na	20	10	2	15	10	8	52	63	44
LOC642943	na	0	0	0	1	2	1	1	1	0
PRRC2B	na	2591	2823	2983	3078	3699	3565	2651	2510	2157
BARX1-DT	na	8	10	6	9	17	13	12	10	10
LINC02603	na	2	3	1	5	2	3	6	3	2
LOC100132077	na	0	0	0	1	2	1	2	1	1
BST2	na	1842	1456	2534	49	35	33	647	576	467
PCAT7	na	54	70	89	74	62	78	84	76	64
MIR2278	na	2	4	6	6	3	2	3	3	3
MIR6081	na	4	2	2	3	10	12	4	3	1
FBXO33	na	211	153	218	364	236	342	343	287	245
NPAS4	na	0	2	0	0	0	1	0	0	0
LINC00476	na	211	188	249	368	250	379	395	290	318
TAL2	na	1	1	2	3	1	1	2	1	3
SULT1E1	na	0	0	0	0	0	1	0	0	0
FBXO42	na	713	642	762	965	788	900	996	774	697
LOC100132781	na	1	0	0	0	0	0	0	2	0
PTMAP11	na	1	1	1	1	0	0	1	0	1
GAS2L1P2	na	0	0	1	0	0	0	0	0	0
ANKRD18CP	na	51	75	68	54	39	53	53	53	39
SUGT1P4-STRA6LP	na	11	16	14	16	10	19	14	17	15
SUGT1P4-STRA6LP-CCDC180	na	3	0	2	1	2	1	0	4	0
LINC00858	na	0	0	0	0	0	0	0	1	0
PTCSC2	na	4	5	8	0	12	12	10	4	2
EEF1AKMT4	na	68	47	103	132	72	135	162	153	135
PCAT6	na	4	3	7	10	7	3	7	7	8
NUP133	na	1698	1329	1983	2801	1891	2758	2727	2209	1935
TRIM67	na	0	0	1	0	2	2	0	0	0
NAMA	na	0	1	0	0	0	0	0	0	0
LOC101928438	na	4	2	5	3	5	1	10	6	5
STX17-AS1	na	21	26	25	15	12	18	21	19	13
CXCL10	na	1	0	0	1	1	0	0	0	0
MSANTD3-TMEFF1	na	0	0	0	0	0	1	1	0	0
DPH3P1	na	1	0	0	0	2	1	0	0	0
TMEM246-AS1	na	0	0	0	1	0	0	0	0	0
SMC2-AS1	na	9	0	1	7	3	10	10	9	7
KLHL33	na	0	0	0	0	0	0	0	1	1
TTC6	na	13	13	11	10	22	24	21	10	8
RALGAPA1P1	na	200	198	162	275	329	251	237	185	147
ALDH1L2	na	48	37	59	37	70	49	39	38	30
EIF4A3	na	1832	1442	2179	3277	1984	3084	2951	2568	2301
COL10A1	na	1	0	0	0	0	0	0	0	1
PTPMT1	na	432	360	521	670	384	655	577	547	410
SLC6A14	na	0	0	0	0	1	0	1	0	0
GRID2IP	na	12	4	9	0	2	0	2	6	1
TMEM184C	na	536	431	715	826	563	850	862	680	688
TMEM190	na	2	0	0	7	2	7	0	1	1
TRUB1	na	1267	966	1461	2885	1731	3028	2340	1742	1630
ATP5MF	na	1515	1006	1874	2109	1080	1931	2181	1767	1837
SUCLA2	na	384	337	527	693	370	671	607	499	448
DNAJC25	na	173	193	210	309	245	343	285	218	223
MIR4668	na	0	0	0	1	0	0	1	2	0
ARF5	na	1145	950	1389	1966	1458	1933	1803	1561	1407
ARF4	na	1788	1475	2269	3440	2159	2978	3030	2426	2247
FAM225B	na	0	0	0	2	1	3	0	1	0
XRCC5	na	15497	12629	18599	15054	9796	14228	14163	11959	10489
LACTB2	na	324	260	411	714	371	592	943	695	610
FASN	na	3653	4273	4401	7607	13886	8859	6750	6793	5021
ZNF264	na	1447	1310	1566	1856	1642	1986	1431	1168	1157
TLN1	na	1299	1428	1524	2503	3004	2677	2039	1780	1514
MED28	na	1519	1247	1831	2292	1714	2372	2435	1932	1866
MRPL46	na	369	317	482	602	351	579	594	520	491
BIRC7	na	1	4	4	23	31	18	11	6	7
TLCD4-RWDD3	na	25	12	21	41	22	29	24	24	19
KLHL9	na	1523	1081	1828	2644	1948	2570	2240	1793	1746
SH3RF1	na	180	173	230	322	251	364	280	288	253
PAPPA-AS1	na	16	24	9	4	22	10	11	9	14
HSD17B6	na	11	6	9	5	8	11	6	9	8
LSINCT5	na	0	0	0	1	0	0	1	0	1
B3GNT10	na	246	229	344	409	290	436	454	360	414
CUTALP	na	277	260	368	479	395	513	482	388	433
C5-OT1	na	1	0	0	1	1	0	0	1	1
TOP2B	na	4457	3787	4973	7030	5815	7112	5656	4944	4446
CPLX4	na	0	0	0	0	0	0	0	0	1
BMP8B	na	124	144	196	258	254	291	207	188	147
GSN-AS1	na	2	3	5	1	4	3	5	10	0
GGTA1P	na	7	3	9	3	5	4	0	1	1
MORN5	na	2	1	1	1	1	1	1	0	0
CCR1	na	142	65	43	3237	2035	2708	1959	1792	1252
CLDN4	na	3	2	5	7	6	8	5	4	2
GABBR2	na	2	1	3	1	0	1	0	1	0
MAPK8IP1	na	612	562	792	1813	1466	1549	1194	963	954
GCN1	na	4970	5040	6081	8402	8858	9574	8019	7729	6225
SNORD90	na	1	3	3	5	1	4	0	1	4
TSPAN5	na	78	62	102	32	17	16	13	13	12
ACTR2	na	4702	3824	5121	6575	5055	6193	6752	5314	5056
MIR600HG	na	97	108	86	181	176	185	143	123	116
RSPH1	na	23	19	23	30	22	36	32	30	32
MIR7150	na	0	0	0	1	2	0	0	1	0
LOC100505588	na	2	2	0	0	0	1	0	1	0
LOC100129034	na	83	104	73	108	175	135	141	155	101
MIR181A2HG	na	16	16	17	13	10	24	18	10	8
UBN2	na	523	662	583	267	377	326	577	476	434
WDR38	na	4	0	5	5	2	9	4	4	11
ZNF829	na	25	17	25	0	0	1	0	0	0
LOC105376271	na	4	4	8	8	8	5	2	3	0
KLHDC7B	na	1	1	0	10	14	21	3	2	5
GLCCI1	na	17	38	17	66	62	58	67	61	53
SGF29	na	152	146	194	223	160	227	249	192	157
HOGA1	na	66	59	74	132	126	162	54	38	58
PNKD	na	877	653	1071	956	655	947	979	795	733
IRF2BP2	na	735	616	872	1271	729	1098	1735	1478	1231
FAM220A	na	240	243	333	392	288	429	354	308	324
CYS1	na	28	24	48	141	145	129	63	46	43
KCNQ4	na	22	29	28	12	9	10	7	4	2
LOC51145	na	4	4	3	6	1	5	7	2	4
MIR193B	na	6	0	0	3	2	2	2	2	1
SNORA65	na	58	40	73	81	41	110	88	54	56
MIR3911	na	2	3	5	5	5	2	4	3	4
FAM209B	na	3	3	4	3	3	3	3	2	1
PRPH2	na	7	6	5	35	20	45	4	2	4
MIR3960	na	0	0	0	0	1	1	0	0	0
MIR765	na	3	4	2	8	2	3	4	2	1
LOC102723566	na	25	20	28	53	29	47	26	24	17
MIR4672	na	0	0	2	2	2	1	1	2	1
SPATS1	na	0	1	1	2	1	0	0	0	0
E2F7	na	1008	907	1018	1771	1381	1547	1544	1173	1012
LURAP1L	na	745	618	815	3631	2513	3517	2652	2360	2025
SLC25A25-AS1	na	25	37	40	68	59	86	45	51	46
PTGES2-AS1	na	9	13	11	14	14	20	9	10	10
MAP1LC3B2	na	23	29	27	42	68	48	47	30	33
MIR219B	na	0	0	0	1	1	0	1	0	0
PMM2	na	664	559	741	1018	711	1133	1169	969	775
ROM1	na	37	21	44	90	82	112	119	93	85
RLBP1	na	0	0	0	0	0	0	2	1	2
RACK1	na	21079	17227	26372	34618	24306	34867	32331	28048	25189
PGK1	na	7017	5546	8284	11752	9056	11580	11134	8807	8378
PLOD1	na	1639	1501	1858	4461	5634	4511	3102	2719	2393
LIN37	na	95	94	121	139	130	132	127	99	113
TNFAIP6	na	0	0	0	0	0	0	0	0	0
VSIG10	na	414	320	505	902	615	851	547	395	443
SNX8	na	307	288	400	478	349	438	580	477	426
HCFC2	na	215	180	261	395	316	402	545	441	413
AGAP5	na	2	0	2	2	0	2	3	1	1
GBX1	na	0	1	2	0	0	1	0	0	0
ARMCX1	na	2	6	1	1	6	4	5	0	2
ARMCX3	na	31	27	15	66	75	81	3	0	0
CCR10	na	138	132	199	122	124	109	130	122	81
TIMMDC1	na	710	516	832	1303	929	1389	1361	1066	1026
IL23A	na	3	0	4	6	3	8	5	3	4
PCDH12	na	0	0	0	0	0	0	1	1	0
SPOCK1	na	0	1	2	1	3	1	0	0	0
LOC100506100	na	32	37	47	40	40	52	48	49	52
EFNB3	na	93	68	81	247	291	252	135	99	104
ZC3H7A	na	612	678	656	1081	1232	1047	877	741	682
COL12A1	na	249	223	359	111695	100540	101599	38938	31555	26542
MIR26A1	na	0	0	1	3	1	0	0	0	1
ZMAT3	na	341	369	366	495	412	532	670	511	509
NKX2-3	na	6	5	8	12	12	12	2	2	4
TRIB3	na	99	73	104	234	218	266	177	152	155
LOC101929331	na	0	0	0	3	0	2	3	2	1
LINC01503	na	17	28	22	20	26	20	17	11	8
PRRX2-AS1	na	0	0	0	0	0	1	0	0	0
GPLD1	na	62	60	73	96	64	94	134	99	82
MIR6855	na	0	0	2	1	0	1	2	1	0
FDX1	na	539	367	511	959	539	865	1068	918	782
IFIT2	na	62	25	48	75	69	73	99	95	105
LOC100272217	na	23	31	50	26	28	55	31	30	33
MIR6856	na	0	1	1	4	2	5	7	3	0
ACTRT3	na	32	24	39	80	43	78	64	46	49
DOT1L	na	555	624	566	772	973	769	917	953	705
JAM3	na	969	772	1113	1352	877	1337	1202	961	862
CA5B	na	1	1	2	3	4	6	0	1	0
TCIM	na	0	3	2	0	0	0	0	0	0
LRRC14B	na	0	0	0	0	0	1	0	0	0
MIRLET7E	na	5	1	0	1	3	6	1	2	1
PELI1	na	49	49	62	214	152	203	227	176	168
CA14	na	90	93	101	252	233	258	322	254	245
TMEM59L	na	88	86	112	57	79	50	61	56	40
NUTM2B	na	2	2	2	2	3	2	4	0	2
SLC18A2	na	1	1	0	1	0	0	0	0	2
RPS2	na	23512	18988	26339	29989	22306	26685	30340	25787	21975
CA3	na	1	0	2	0	1	0	0	0	1
MIR548AW	na	1	0	1	1	0	0	0	0	0
MIR6877	na	1	1	1	3	0	1	1	3	0
CELP	na	0	0	0	1	0	0	0	1	1
CXCL3	na	1	1	1	0	0	1	0	0	0
TTYH3	na	286	266	247	617	932	564	540	559	397
SNORD24	na	34	26	21	41	19	44	37	28	28
SNORD36B	na	6	17	4	23	2	21	19	11	12
SNORD36A	na	80	44	80	103	63	91	106	78	59
SNORD36C	na	50	39	58	30	25	65	43	30	33
S1PR2	na	121	78	109	279	210	262	231	229	167
MED14	na	1075	1160	1165	1781	2014	1644	1780	1633	1413
CWC22	na	1176	986	1369	1089	829	1024	1003	945	877
CCDC180	na	5	2	2	4	5	1	3	3	4
CCDC69	na	154	136	178	426	377	348	248	216	182
CRYM	na	0	2	0	0	0	1	2	2	0
DBH-AS1	na	1	1	0	5	11	2	9	12	6
BRD3OS	na	393	364	503	901	605	790	805	638	596
LOC100130548	na	0	0	0	0	0	1	0	0	1
POLRMT	na	947	744	973	1113	1000	1125	1285	1312	1016
RNU6ATAC	na	104	44	95	101	35	120	83	65	39
CACNB1	na	206	198	272	584	645	544	405	343	301
PSMB10	na	432	303	542	1029	565	1115	1008	779	756
TBCD	na	705	606	804	1215	1225	1351	1287	1039	873
